event_id,ts,category,rule,src,src_mac,dst,dst_mac,flows,spkts,dpkts,sbytes,dbytes,uniq_dports,proto,top_dport,atk,mal,shadow_atk,shadow_mal,atk_thr,mal_thr,decision
2026-04-04 15:16:03|MALWARE|C2_BACKDOOR|192.168.89.10|192.168.88.200|06571e0977bf,2026-04-04 15:16:03,MALWARE,C2_BACKDOOR,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,1532,1553,17,49696,1020,1,17,4444,,0.999974,0.404184,0.595816,,0.600,BLOCKED
2026-04-04 15:18:05|MALWARE|RANSOMWARE_PRECHECK|192.168.89.10|192.168.88.1|c06c2e13f684,2026-04-04 15:18:05,MALWARE,RANSOMWARE_PRECHECK,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,800,800,800,48000,32000,10,6,135,,0.652408,0.499811,0.500189,,0.600,BLOCKED
2026-04-04 15:18:47|ATTACK|SSH_BRUTE_FORCE|192.168.89.10|192.168.88.1|ce6f61252132,2026-04-04 15:18:47,ATTACK,SSH_BRUTE_FORCE,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,1,15,0,2255,0,1,6,22,0.216728,,0.525049,0.474951,0.500,,REDIRECTED_TO_HONEYPOT
2026-04-04 15:19:42|ATTACK|PORT_SCAN|192.168.89.10|192.168.88.200|0be0000fa522,2026-04-04 15:19:42,ATTACK,PORT_SCAN,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,1314,1318,1109,58064,44360,1307,6,0,0.518820,,0.518820,0.481180,0.600,,NOT_BLOCKED
2026-04-04 15:19:42|ATTACK|TCP_FLOOD|192.168.88.200|192.168.89.10|687481ad7607,2026-04-04 15:19:42,ATTACK,TCP_FLOOD,192.168.88.200,08:00:27:3D:FF:04,192.168.89.10,08:00:27:65:1D:09,1108,1109,1318,44360,58064,3,6,43779,,,,,,,SUPPRESSED_VICTIM_LEG
2026-04-04 15:20:13|ATTACK|TCP_FLOOD|192.168.88.200|192.168.89.10|26f9d0a94e0a,2026-04-04 15:20:13,ATTACK,TCP_FLOOD,192.168.88.200,08:00:27:3D:FF:04,192.168.89.10,08:00:27:65:1D:09,38844,38844,41068,1553776,1807048,3,6,43779,,,,,,,SUPPRESSED_VICTIM_LEG
2026-04-04 15:20:15|ATTACK|PORT_SCAN|192.168.89.10|192.168.88.200|eac21df4b13e,2026-04-04 15:20:15,ATTACK,PORT_SCAN,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,41064,41068,38844,1807048,1553776,32535,6,24457,0.627100,,0.828191,0.171809,0.600,,BLOCKED
2026-04-04 18:50:41|ATTACK|TCP_FLOOD|192.168.89.10|192.168.88.200|5ac76f52c8b6,2026-04-04 18:50:41,ATTACK,TCP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,31595,63180,31575,2527520,1389348,1,6,445,0.553439,,0.553439,0.446561,0.720,,NOT_BLOCKED
2026-04-04 18:50:42|ATTACK|PORT_SCAN|192.168.88.200|192.168.89.10|0539233909f9,2026-04-04 18:50:42,ATTACK,PORT_SCAN,192.168.88.200,08:00:27:3D:FF:04,192.168.89.10,08:00:27:65:1D:09,31575,31575,63180,1389348,2527520,31573,6,1538,,,,,,,SUPPRESSED_VICTIM_LEG
2026-04-04 18:51:11|ATTACK|PORT_SCAN|192.168.88.200|192.168.89.10|0072a8775b2e,2026-04-04 18:51:11,ATTACK,PORT_SCAN,192.168.88.200,08:00:27:3D:FF:04,192.168.89.10,08:00:27:65:1D:09,23497,23497,46974,1033868,1878960,23497,6,33055,,,,,,,SUPPRESSED_VICTIM_LEG
2026-04-04 18:51:12|ATTACK|TCP_FLOOD|192.168.89.10|192.168.88.200|08eddbf601f7,2026-04-04 18:51:12,ATTACK,TCP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,23487,46974,23497,1878960,1033868,1,6,445,0.549434,,0.541995,0.458005,0.720,,NOT_BLOCKED
2026-04-04 18:51:41|ATTACK|TCP_FLOOD|192.168.89.10|192.168.88.200|a3b6d58e74d8,2026-04-04 18:51:41,ATTACK,TCP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,18453,36906,18448,1476240,811712,1,6,445,0.544328,,0.534847,0.465153,0.720,,NOT_BLOCKED
